Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,1,1,17,0,2,1,0.229870238,49,0.480663581,0
0,9,1,27,1,1,0,-1.604364809,23,0.767809894,0
0,1,1,21,0,2,0,1.857436563,55,-0.500419656,0
1,1,1,3,1,2,0,-1.604364809,59,1.066920637,0
0,1,1,4,0,2,1,-0.042632242,59,0.432805862,0
1,1,1,41,0,2,0,0.518988723,59,-0.691850532,0
0,4,1,27,0,1,1,0.383826118,52,0.420841432,1
0,3,1,22,0,1,1,-0.330375608,71,1.066920637,1
0,4,1,31,0,1,1,-1.604364809,55,-0.033806897,1
1,12,1,41,0,1,1,0.603100085,71,0.707987746,0
0,5,1,42,0,1,1,0.239037689,13,-0.141486765,0
0,2,1,21,1,2,0,0.36892901,50,1.701035413,0
1,1,1,21,1,2,0,3.649787819,50,0.026015251,0
0,4,1,41,0,1,1,-0.513037069,71,-1.385787456,0
0,1,1,2,1,2,0,-0.327911856,50,-0.931139126,0
0,5,1,21,0,1,0,1.564479208,23,0.612272308,0
0,1,1,51,1,2,0,0.628482465,50,1.031027348,0
1,5,1,21,0,1,1,1.370473027,71,-1.565253902,1
1,2,1,10,1,2,0,-0.568099071,50,0.049944111,0
0,5,1,21,0,1,1,0.67615321,72,-1.397751886,0
0,4,1,27,0,1,1,-0.431962424,72,1.689070983,0
0,7,1,41,0,0,1,-0.193952479,23,1.521568967,0
1,5,1,42,0,1,1,0.511597466,52,0.731916605,1
1,1,1,36,1,2,0,-0.215610582,50,1.509604537,0
0,3,1,24,1,2,0,0.037640251,50,-0.153451194,0
0,1,1,7,1,2,0,0.212222895,50,1.701035413,0
1,1,1,26,0,2,1,-1.604364809,50,0.911383051,0
1,12,1,43,1,1,1,-1.604364809,23,-1.20632101,0
1,6,1,36,0,1,1,1.012140288,75,0.026015251,0
1,1,1,21,1,2,0,1.753156808,50,-1.64900491,0
1,1,1,24,1,2,0,1.085479896,50,-0.76363711,0
0,5,1,19,0,0,1,0.515436336,23,-0.33291764,0
1,8,1,27,0,1,1,-1.604364809,38,-0.536312946,0
1,7,1,23,0,1,1,-0.014957999,71,1.042991778,0
0,1,1,46,1,2,0,0.063309114,50,-0.308988781,0
1,5,1,3,0,1,0,-1.604364809,54,-0.895245837,1
1,3,1,51,0,1,1,0.176928209,71,1.054956208,1
1,7,1,21,0,0,1,0.107943141,23,-1.242214299,1
