Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,4,1,21,1,1,0,0.957707293,69,0.629362042,0
1,0,1,46,1,2,1,-0.646799554,58,0.366832844,0
0,7,1,21,0,1,1,-0.086547832,69,0.796426077,0
1,2,1,30,1,2,0,0.533609085,49,1.643679397,0
0,9,1,51,1,1,0,1.122725823,69,0.760626641,0
0,4,1,41,0,1,1,-1.645728962,23,1.166353583,0
0,3,1,21,0,1,1,-1.645728962,69,-0.898080564,1
1,1,1,44,1,2,0,0.096930198,58,-1.399272669,0
0,9,1,33,0,1,0,1.560933203,25,-0.850347983,0
1,1,1,2,0,2,1,0.090698647,49,0.378765989,0
0,1,1,41,0,2,0,-1.645728962,49,0.044637919,0
0,9,1,41,1,1,0,-0.756557158,18,0.724827204,0
0,1,1,24,1,2,1,-1.645728962,58,1.715278269,0
1,3,1,12,1,1,0,0.034085593,23,0.092370501,0
0,0,1,41,0,2,1,-1.645728962,49,0.187835663,0
1,1,1,6,1,2,0,-0.528694023,49,0.879958094,0
1,9,1,36,0,1,0,1.443415554,69,0.73676035,0
0,7,1,21,0,1,1,0.417208413,69,0.307167117,0
0,7,1,21,0,1,1,1.989675681,69,-1.399272669,1
1,2,1,21,1,2,0,0.193871971,49,1.118621001,0
0,10,1,21,1,1,0,1.080986187,96,-1.42313896,0
0,1,1,27,0,1,0,-1.645728962,23,1.202153019,0
1,8,1,6,0,1,1,0.355363207,72,-0.731016529,0
1,5,1,21,0,1,1,0.567059581,102,0.593562606,1
0,5,1,23,0,1,1,0.204630214,23,1.643679397,1
0,1,1,22,1,2,0,-0.02158685,49,-0.182091843,0
1,1,1,51,0,2,1,0.278938523,49,-0.062760389,0
0,10,1,27,0,1,1,0.223560021,69,0.486164297,0
0,1,1,51,1,2,0,0.776698369,49,-0.480420477,0
1,11,1,3,1,1,0,-1.645728962,20,1.142487292,0
1,1,1,17,1,2,0,-0.379254372,48,-1.172542907,0
1,1,1,9,1,2,0,0.303747151,49,0.605495751,0
0,1,1,29,1,2,0,-0.185370827,49,-0.170158697,0
1,10,1,27,1,1,0,-1.645728962,69,-0.778749111,0
0,5,1,46,1,1,0,0.689280288,114,1.130554147,0
0,3,1,46,1,2,0,-0.15162639,49,0.342966553,0
0,7,1,51,1,1,0,0.085936801,109,0.414565425,0
